Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Message,Exact_Date
GMM Grammy Public Company Limited,https://gmmgrammy.com,unknown,30/07/54787,NA,"Headquarters: 50 Gmm Grammy Pl Sukhumvit 21 Rd Asoke Klongtoeinuea, Wattana, Phra Nakhon Si Ayutthaya, 10110, Thailand Phone Number: +66 26699000 Website: www.gmmgrammy.com Revenue: $109 Million Stock Symbol: GRAMMY - https://classic.set.or.th/set/companyprofile.do?symbol=GRAMMY&ssoPageId=4&language=en&country=US",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/bebaa11f-4d19-44ac-9a6d-d0981d6f6b84,BlackCat,NA,NA," GMM Grammy - the media company with the lowest level of security in Asia. GMM Grammy's critical sensitive data is downloaded to our servers and encrypted, only we have access to decrypt this data. All data is ready to be uploaded into the public domain automatically in 48 hours after the attack. GMM Grammy has a chance to recover their data and protect their customers and employees from having their data used for criminal purposes. GMM Grammy management is aware of this incident and have all the information they need to contact us.  Critical information of GMM Grammy and its partners, clients, musicians and showbiz stars will be fully disclosed and available to anyone who wishes to access it if GMM Grammy does not contact us within 48 hours.  The information we have is capable of completely disrupting GMM Grammy's business, severely harming the showbiz stars doing business with them and implicating all GMM Grammy clients in cases of lawbreaking using their personal information.    ATTTENTION!  GMM Grammy has 48 hours from the time of the attack on them. If they do not contact us within that time, they will face dire consequences for their business and reputation. GMM Grammy management is in full possession of all information to resolve this matter and their failure to act will constitute a direct consent to the distribution and criminal use of their customers, show business stars and product users' information.  GMM Grammy management should understand that this incident is just business. Business is about keeping sensitive and personally identifiable user and customer data secure by companies that do not treat it with respect for their customers and their privacy. Having all access to all resources of GMM Grammy (YouTube, Facebook, Google, all accounts of social networks and cloud storages) we did not attack from this side, having all possibilities, this step shows our intentions - to make user data storage by big companies a completely safe process.  At the same time we can not influence the outcome of this incident as all negative consequences will be launched by GMM Grammy's fault without our participation if GMM Grammy will not contact us and solve this problem within 48 hours. If GMM Grammy does not contact us in the specified time, there will be many negative consequences due to their fault:  - The administration of King of Thailand will be informed about this incident. The King of Thailand will be provided all evidence of GMM Grammy's guilt in this incident and their initiative to use their customers' data to launder money for their own commercial interests - The users of the services provided by GMM Grammy through its affiliated companies (TV, film studios, equipment and technical solutions) will be involved in money making in China, USA, Thailand and throughout Asia using their personal data - All personal data of the showbiz stars and musicians contracted by GMM Grammy will be made public - All technical developments and their descriptions, githubs and source codes will be uploaded to the largest hackers' forums of the world, followed by attacks on all GMM Grammy clients and GMM Grammy's entire product system - All legal documents including contracts, agreements, NDA documentation will be made publicly available, and a link to download them will be sent to hundreds of journalists in major media outlets around the world - A mass social media alert will be launched all over Asia about the incident, with links to all the materials. Thousands of bots will spread information about the incident to millions of people in Asia - All GMM Grammy vulnerabilities will be reported to multiple hacker groups, so if GMM Grammy fails to contact us within 48 hours, they will be targeted in massive attacks.  At this time, GMM Grammy's management, with all the information about this incident, is making the choices it believes in and is making the decision regarding the security of their clients' data that it wholeheartedly supports. We hope that GMM Grammy's customers will react favorably to this decision, and that their personal information will remain protected. If GMM Grammy makes the right decision and protects its customers' information on our terms, we will provide them with full information about the vulnerabilities in their system with detailed recommendations on how to fix them. Also, if GMM Grammy contacts us within 48 hours of the attack and meets all data recovery conditions, this blog will not be published and they will have the opportunity to fully recover their data and remove it from our servers. If this blog is published, it is proof of GMM Grammy's complete culpability for all the consequences of this incident, as well as their culpability for all the terrible consequences their customers and partners will face.",30/07/54787 01:18:08
unipiloto.edu.co,https://unipiloto.edu.co,unknown,23/05/54783,NA,"Over 300 gigabytes of data Data of students, teachers, administrators and much more....",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/21da7353-0c4e-4980-b32c-9f42329e3170,BlackCat,NA,NA,"Over 300 gigabytes of data Data of students, teachers, administrators and much more....",23/05/54783 19:31:25
unipiloto.edu.co,https://unipiloto.edu.co,unknown,01/05/54783,NA,"Over 300 gigabytes of data Data of students, teachers, administrators and much more.... ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9c2fc01d-1178-4f72-b34f-8e4edfb249f1,BlackCat,NA,NA,"Over 300 gigabytes of data Data of students, teachers, administrators and much more.... ",01/05/54783 05:20:12
Mdaemon Technologies,https://www.altn.com/,unknown,25/10/54778,NA,"MDaemon Technologies, Ltd. is a privately held company that sells its products and services to a global customer base.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/457ed775-81de-4cbd-a3b2-db08717a4e51,BlackCat,NA,NA,"700 GB of data were exfiltrated. Data includes: - Sourse code - Employees personal data, CVs, DL, SSN. - Complete network map including credentials for local and remote services. - Private financial information including: clients data, bills, budgets, annual reports, bank statements. - Manufacturing documents including: datagrams, schemas, drawings in solidworks format",25/10/54778 01:55:13
Egyptian Electric Cooperative Association,https://www.eeca.coop,unknown,30/03/54772,NA," Egyptian Electric Cooperative, currently headquartered in Murphysboro, Illinois, is a consumer-owned corporation that supplies electric power to members in portions of Jackson, Randolph, Perry, Williamson, and parts of St. Clair, Johnson, Union, Monroe, Franklin and Washington counties in southern Illinois. More than 15,000 households and businesses receive power from Egyptian Electric Cooperative. We are a distribution utility, meaning we do not generate our own electricity. We purchase our power from Southern Illinois Power Cooperative (SIPC) which is located south of Marion, Illinois, at Lake of Egypt. SIPC is a generating and transmission cooperative which is owned and controlled by the southern most rural electric cooperatives in the most southern region of Illinois, and that receive electricity from SIPC. Egyptian Electric is wholly owned by the people it serves, and is governed by nine board of directors, elected by members. Approximately 38 employees work for Egyptian Electric to serve its residential, commercial and industrial accounts.  To learn more, and view our by-laws, visit the New Members page. The Cooperative",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c86c84ef-1759-4a97-be96-67203f6647ff,BlackCat,NA,NA,"Egyptian Electric Cooperative, currently headquartered in Murphysboro, Illinois, is a consumer-owned corporation that supplies electric power to members in portions of Jackson, Randolph, Perry, Williamson, and parts of St. Clair, Johnson, Union, Monroe, Franklin and Washington counties in southern Illinois. More than 15,000 households and businesses receive power from Egyptian Electric Cooperative. We are a distribution utility, meaning we do not generate our own electricity. We purchase our power from Southern Illinois Power Cooperative (SIPC) which is located south of Marion, Illinois, at Lake of Egypt. SIPC is a generating and transmission cooperative which is owned and controlled by the southern most rural electric cooperatives in the most southern region of Illinois, and that receive electricity from SIPC. Egyptian Electric is wholly owned by the people it serves, and is governed by nine board of directors, elected by members. Approximately 38 employees work for Egyptian Electric to serve its residential, commercial and industrial accounts.  To learn more, and view our by-laws, visit the New Members page. The Cooperative  5 % data",30/03/54772 18:44:03
Longhorn Investments,https://www.longhorninvestments.com/,unknown,10/05/54764,NA,ALL 1 TB DATA AVAILABLE FOR DOWNLOADING!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/b5de5023-0fdf-45de-bc10-8eff89923c3d,BlackCat,NA,NA,ENJOY!,10/05/54764 08:06:54
 Events DC | eventsdc.com,https://eventsdc.com/,unknown,28/10/54755,NA,"Events DC is the premier host of conventions, entertainment, sporting and cultural events in the nation’s capital.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/bc4a2074-d980-48a9-b0c1-aa53681cb89a,BlackCat,NA,NA,"We have downloaded more than 75 Gb of your sensitive data - documents, invoices, clients info and etc. We give you 48 hours to reply.",28/10/54755 21:54:27
RecordTV,https://recordtv.r7.com/,unknown,17/10/54753,NA,"formerly known as Rede Record, is a Brazilian free-to-air television network. It is currently the second largest commercial TV station in Brazil, and the 28th largest in the 2012 world ranking",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/525733f5-0902-43f1-a7f1-6f90cace26bc,BlackCat,NA,NA,Check our proofs. We going to share more data with you soon,17/10/54753 18:37:11
Jam Filled Entertainment,https://www.jamfilled.com/,unknown,09/10/54753,NA,"Jam Filled Entertainment is a Canadian animation studio based in Ottawa, Ontario with additional facilities in Toronto and Halifax and is a division of Boat Rocker Media. It is best known for animating Thomas & Friends between 2013 and 2020 and the Nickelodeon TV series, The Loud House",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a808e46a-3406-4313-9f1d-939c3294058e,BlackCat,NA,NA,"Got their emails, documents, reports",09/10/54753 15:07:48
Triten,https://www.triten.com/,unknown,30/05/54749,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7325ecd1-344c-4014-8ad7-94c84bb7a113,BlackCat,NA,NA,ENJOY!!!,30/05/54749 07:37:16
Döhler HACKED! More then 800 GB sensitive data LEAKED!,https://doehler.com,unknown,21/01/54748,NA,"Headquarters: 7-9 Riedstrasse, Darmstadt, Hessen, 64295, Germany Phone Number: +49 61513060 Website: www.doehler.com Revenue: $2 Billion ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/5b9a8807-8abb-44c2-9be5-588ec9124627,BlackCat,NA,NA," What is Döhler?  Döhler is a global producer, marketer and provider of technology-driven natural ingredients, ingredient systems and integrated solutions for the global food, beverage and nutrition industry.  Döhler has a critically low level of security. The storage of company data, personal data, sensetive data of partners is at a critically low level. The same is true for internal processes, policies and production - absolutely all of them are not properly executed and controlled. Döhler puts its customers, information, processes and consequently the consumers of their products at risk.  The company has been hacked. The data is encrypted and stored on our servers. At this time we have information that will open the public's eyes to restricted data and help change the way millions of people around the world think about their products:  - Detailed information about product formulations and manufacturing methods - Financial records of the company and its partners - Information about the company's lonistic chains and contractors - Information on so-called supplier farms, detailing the company's methods of working with them - Critical personal data about Döhler employees and management - Information on Döhler product technologies and solutions - Databases, backups - Industry data and analytics - Hygiene and production control data - Strategic company and customer data - Information that can change the way people around the world think about Döhler products  We fully understand that the bigger a company is, the harder it is to keep all processes safe, however in the case of Döhler we have a company which treats its processes and partners without any responsibility. Döhler's extremely low level of security will make all its customers aware of the serious risks of doing business with Döhler.   The irresponsible storage of partner and customer data (including product recipes, closed patents, NDA documentation, financial documents, business methods) will entail their disclosure and downloading into the public domain. These documents will be available to anyone who wishes to access them.  Döhler may not understand the complexity of this incident, so the company's global divisions will face serious consequences if they fail to cooperate. A large number of journalists from all over the world will be involved in the incident with full access to the downloaded company data.  All of the personal data of the company's clients and its employees will be used for criminal purposes, all of these people will have a huge number of problems with the law through the fault of the company. And the company itself would be in direct violation of the fundamental conventions of the International Labor Organization and the GDPR personal data law.  If Döhler fails to come forward to resolve this incident within 48 hours - it will be seen as a gross violation of the rights of its customers and consumers, who have a right to know the truth about the food they eat and the approach to its production. Millions of people will know the truth about the food they buy every day in supermarkets and eat in fast-food restaurants of world-famous brands. ",21/01/54748 21:43:52
The Hibbert Group,https://hibbertnet.com,unknown,13/03/54745,NA,"We are a full service provider of Integrated Marketing Solutions, including International Fulfillment, Database & MCM, and Professional Services. At Hibbert we recognize the importance and complexity involved in planning omnichannel marketing campaigns. Our rich history includes unparalleled experience in matching a client’s extensive market planning with tailored solutions that deliver the industry’s most reliable and effective results. We also offer our clients the highest quality of comprehensive marketing services available. Our advanced technological solutions consistently support our clients’ customer relationship management strategies no matter how demanding. We are a proven industry service provider ready to take on your toughest marketing challenges. The Moonan family has owned Hibbert since the 1930s. Their fervent commitment to customers and our employees continues today.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9c38cef9-7535-4391-8183-8c15f9e78ac5,BlackCat,NA,NA,,13/03/54745 16:44:09
Notos Com ,https://www.notoscom.gr/en,unknown,22/06/54737,NA,"Over the years, through a number of mergers & acquisitions, Notos Com has emerged to be one of the most important players in the Greek market. Notos Com Holdings focuses its operational business in the retail & wholesale of Apparel, Footwear and Cosmetics. Its core activity is the management of a major number of powerful International Brands with extensive market penetration both locally and globally.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/740840c7-5c89-47a2-943c-cdb162b2a47a,BlackCat,NA,NA,Check our files. The workers of this company are don't worry about the leaked data at all.,22/06/54737 18:29:17
Deutsche Saatveredelung AG,https://www.dsv-saaten.de/,unknown,16/06/54737,NA,"Deutsche Saatveredelung AG engages in seed breeding, production, advisory services and sales of grasses.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/dd98de05-33c7-4e5d-90f4-80e76f7262c4,BlackCat,NA,NA,End-user information Financials Emails Id,16/06/54737 23:33:36
Home Dynamix,http://www.homedynamix.com/,unknown,03/06/54737,NA,"Home Dynamix's core philosophy is centered on designing and manufacturing high quality home textile products including area rugs, scatter rugs, kitchen and bath rugs, bedding and more. With three plus decades in the floor covering business, Home Dynamix has distinguished itself as a trendsetter with the keen ability to tap into what the consumer is looking for.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/88d0664f-0ac3-4a06-8ff1-2ef79c45c4bd,BlackCat,NA,NA,Passports Financial reports Emails Company issues are funny to read,03/06/54737 02:52:34
Pinnacle Incorporated,https://www.pinnacle.co.nz/,unknown,04/11/54734,NA,"The Pinnacle group is a primary care pioneer – and we’re proud of that. We’re inquisitive, innovative and evolve with purpose – we’re proud to be constantly pushing the boundaries. We know a strong health system centres around high quality primary care and community services that are continually developing and evolving to meet local need. We play our part by ensuring the right resources and capacity are in place so our patients and our network can thrive.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2bdcb078-94e0-43f0-9f3b-226f2ff87082,BlackCat,NA,NA,"We have a data about patients, their reports and id. You can use it the way you like it. Check the data host",04/11/54734 10:55:10
Knoll,https://www.knoll.com,unknown,09/10/54734,NA,"Knoll, a subsidiary MillerKnoll, Inc., is an American design firm that produces office systems, seating, files and storage, tables and desks, textiles, and accessories for the office, home, and higher education settings. The company manufactures home furniture by Ludwig Mies van der Rohe, Harry Bertoia, Florence Knoll, Frank Gehry, Charles Gwathmey, Maya Lin, and Eero Saarinen under the company's KnollStudio division.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/3f2d42ac-22be-4879-b1de-4eba2c7a4e11,BlackCat,NA,NA,"You can find some passports, financial information and messages",09/10/54734 10:54:41
Clarion Communication Management Ltd,https://clarioncomms.com/,unknown,18/01/54726,NA,"The Clarion Group brings together a team of people with a shared passion for technology – and the advantages it can bring to Business. We have spent nearly 20 years building up and maintaining a detailed understanding of the evolving ICT landscape and are keen to share this. We believe in educating our Customers as to the pros and cons of different solutions rather than simply foisting these upon them, allowing for a more informed and consultative decision-making process.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ec9a29c6-7514-4096-a459-fe371d23dc13,BlackCat,NA,NA,"96 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Passwords, Insurance, Agreements and much more); - Clients documentation (DL's, ID's, SSN's, Financial data, Passwords, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",18/01/54726 05:57:39
Simex Defence Inc,https://simexdefence.com/,unknown,05/03/54720,NA,"Simex Defence is a Canadian provider of defence-related procurement and distribution services working for the Canadian military and other countries alongside private warlords, serving the customers’ needs in aerospace, land, and marine applications.  It has the scale, know-how, resources, and relationships to deliver the broadest range of defence products as well as manage complex manufacturing requirements for the defence industry.  Founded in 1994, Simex has quickly grown to become a major distributor of military parts with the largest proprietary database of suppliers and partners. After a long history of reliability, partnership, and quality control, it has become a trusted provider of procurement and distribution services to the defence industry.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/195c0096-e7a0-466d-9401-62da5056fbf9,BlackCat,NA,NA,"CEO Sami explicitly refused to protect its own data and their customers data, we called him, he refused.   No problem, enjoy now.",05/03/54720 16:25:58
Bilthoven Biologicals,https://www.bbio.nl/en/,unknown,12/05/54718,NA,"Bilthoven Biologicals (BBio) is recognised worldwide for its polio vaccines. The company was formed following the privatisation of the production activities of the Netherlands Vaccine Institute (NVI). In 2012, the world's largest vaccine manufacturer acquired these activities.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/8a25ef78-15f4-4c9b-b068-86fcaed4566c,BlackCat,NA,NA,Some information about their vaccines and work has been stolen. Also some emails and documents. Most of the information is not going to be published,12/05/54718 05:58:42
Midwest Petroleum,https://www.midwestpetro.com,unknown,13/12/54714,NA,"Founded in 1946 and headquartered in Manchester, Missouri. Midwest Petroleum operates corporate-run gasoline and convenience food stores",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/811cee68-0529-4f68-ad99-22713deb03e3,BlackCat,NA,NA,"Missouri, United States · 474 Employees  Headquarters: 220 Old Meramec Station Rd, Manchester, Missouri, 63021, United States Phone Number: (636) 220-3800 Revenue: $250 Million",13/12/54714 22:11:04
NJVC [ post has been updated ],https://njvc.com/,unknown,19/04/54712,NA,"Formed in 2000 to meet the needs of the intelligence and defense communities, NJVC provides innovative IT solutions.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a9988250-2626-4d62-816a-5cb15c7eb439,BlackCat,NA,NA,"We strongly recommend that you contact us to discuss your situation. Otherwise, the confidential data in our possession will be released in stages every 12 hours.  There is a lot of material. We look forward to your feedback. It's in your best interest. 1. [ added more image samples ]  2. [ added first (3gb) archive with docs and src ] - links: https://anonfiles.com/m2Ofy3A5y2/CTI1-020_7z  3.https://anonfiles.com/R1S92cAdy3/ashley.hicks-007_7z  https://i.imgur.com/UkvZZaB.png https://i.imgur.com/tEIxhPX.png  [update 01.10] https://anonfiles.com/hex2D3A5ya/cti3pub_zip  [update 02.10]  https://anonfiles.com/0405O7A2y7/cti4pub_rar  [update 03.10] https://anonfiles.com/Y2B1U0Aayd/cti04leak_zip  https://anonfiles.com/W8f9ZeAay9/cti5leak_zip  [update 04 Oct] https://anonfiles.com/nf5ec2B6y1/cti6leak_zip  https://anonfiles.com/p148f2B0y5/clayton.smith-013_7z https://anonfiles.com/A028f6B0y9/cti-core1-20220928T083537Z-014_zip https://anonfiles.com/Ee24f0Bbya/cti-core1-20220928T083537Z-012_zip https://anonfiles.com/6e25f3Bayd/cti-core1-20220928T083537Z-015_zip anonfiles.com/PbOfj5B2y5/source-code-cti-1_7z  https://anonfiles.com/h8W0l9B0y1/NJVCDB_7z  http://mynzhkgznd44zqrqvfwmfhurh4wmjfsej3d5z22rsyejbs7lvkkk7eyd.onion",19/04/54712 18:42:38
ID-ware,https://id-ware.com,unknown,13/12/54709,NA,"Manage access for those who need access, no matter where.  We offer solutions using our enterprise software platform for the management of access and permissions, smart cards, contractors and visitors in a secure, smart and cost effective way.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ef8df5c6-f89c-411a-9060-e4f05e284d04,BlackCat,NA,NA,We have a confidential information about business processes and customers,13/12/54709 18:37:32
ASSOCIATED RETAILERS LIMITED HACKED MORE THEN 500G SENSITIVE DATA LEAKED,https://arl.com.au,unknown,09/03/54701,NA,"Headquarters: 5 Kingston Town Close, Oakleigh, Victoria, 3166, Australia Phone Number:+61 394298266 ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/866c22dd-d0da-4005-b8ba-53b2283abfe1,BlackCat,NA,NA," What is arl.com.au?  Established in 1956, ARL is a co-operative buying group that was founded to provide a range of services and benefits to independent retailers. It provides members the opportunity to trade under their iconic trademarks, leveraging the consumer awareness of popular brands; such as Toyworld and SportsPower with the added benefit of their buying power stemming from their relationships with major international and marketing leading suppliers; such as LEGO, adidas, Hasbro and ASICS.  The principal activities of ARL include the licensing of the ARL owned brands; Camping World, Compleat Angler, Mensland, Shoex, SportsPower and Toyworld and providing members with retail and marketing services.  These services include access to team rates from selected third party services, campaign marketing, promotions, brand support and a centralised accounting system.  ARL has an extremely low level of protection for the data of the company and their customers. We were able to steal all of the company's critical and confidential files, which include:  - Financial documents, budgets, reporting - Personal customer information - Personal information of management - Management's financial data, company shareholdings, confidential company directors' data - Employee correspondence and phone calls - Employee contracts - Data relating to insurance companies - Logistics records - Data about the company's customers and partners, describing all their business processes - Marketing documents - Terms of business policies - Customer credit data - Sensitive brand and company name data - NDA documentation - KPI reports - Management data and reports - Company development strategies  In 72 hours, if ARL does not contact us, the data above in this letter will be aimed at destroying the business of ARL and their partners, as follows:  - This blog will be published - A link to this blog will be provided to the major media in Australia, New Zealand, Europe and America - The information in this blog will be expanded, the confidential data of ARL clients will be laid out - Directors and management of ARL will have serious problems, all confidential and financial data related to them will be sent to journalists interested media - All ARL employees' correspondence, calls, contracts will be freely available, and the employees themselves will receive a link to these documents and instructions on drawing up lawsuits the employees themselves will also receive a link to these documents and instructions on how to file a lawsuit against ARL with proof of guilt for this ARL management leak - Marketing data, logistic documents, business conditions and policies, data regarding brands and company names, the company's development strategy - all this will be sent to the company's competitors and made publicly available - NDA data will be publicly disclosed - An article describing all of ARL's vulnerabilities will be posted on the strongest pintest forums, this will result in many additional attacks  You have a chance to save all your data and business. If you manage to contact us before publishing this blog and agree to restore your data on our terms, you will receive all the information about your system vulnerabilities and a guarantee that your system will not be attacked again. Also, if you contact us within 72 hours, you will be able to independently delete all the data we downloaded from your system from our server and it will never get into the open access.  Your time is running out. Make the right decision.",09/03/54701 19:00:22
SolarCraft,https://solarcraft.com/,unknown,05/10/54694,NA,"The North Bay’s Leading Solar provider for over 35 years, SolarCraft provides Solar and Clean Energy Solutions that deliver the highest financial and environmental benefits possible to our clients.  SolarCraft is proud to be 100% Employee-Owned, ensuring that customers can expect excellent products and service from people who are fully committed to our company, our clients, our partners and our community.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/4992bce9-b07d-4fee-80e5-4f21636f85a7,BlackCat,NA,NA,"260 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Loans data, Projects Data,  Insurance, Agreements and much more); - Clients documentation (DL's, ID's, SSN's, Financial data, Loans data, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",05/10/54694 17:19:57
Circles of Care,http://circlesofcare.org/,unknown,20/10/54689,NA,"Caring For Your Health. We are proud to provide the most comprehensive, highest quality behavioral healthcare services.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/fa2dfc8b-39b1-44b9-a5ab-9eacb90159a7,BlackCat,NA,NA,"313 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Insurance, Agreements and much more); - Clients documentation (DL's, ID's, SSN's, Financial data, Credit Cards Data, Analyses, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",20/10/54689 07:27:27
CARITAS,https://www.caritas.de,unknown,15/12/54687,NA,"The ""Deutscher Caritasverband"" (German Caritas Association) was founded in 1897. It gave rise to all other Caritas organisations worldwide. In 1916, the Catholic Bishops Conference of Germany declared it officially as the social wing of the Catholic Church in Germany.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/76669948-eee9-4ff7-8554-67483083de14,BlackCat,NA,NA,We took some sensitive information about this company and ready to publish it,15/12/54687 08:16:54
trisupplyhome.com,https://www.trisupplyhome.com,unknown,16/04/54682,NA,"More than 300 gigabytes of files, personal data of employees and suppliers, accounting and the entire history of the company, enjoy!",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/e9fc33b7-0257-4947-a109-3235ede8bb1b,BlackCat,NA,NA,"More than 300 gigabytes of files, personal data of employees and suppliers, accounting and the entire history of the company, enjoy!",16/04/54682 12:11:04
Boyes Turner LLP,https://www.boyesturner.com/,unknown,04/11/54678,NA,"WE WILL PUBLISH FIRST PART OF THEY DATA SEP 23 Boyes Turner are a regional UK law firm with an impressive international reach. The expertise of our teams is considerable, spanning both  corporate world, technology and private clients.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a10c22c4-cbe2-4315-bee7-dc692f40c707,BlackCat,NA,NA,We successfully exfiltrated 230+GB of your internal data. There is some proofs.,04/11/54678 00:58:44
( POST HAS BEEN UPDATED 1400GB LEAK AVAILABLE ) County Suffolk and contractors,https://www.suffolkcountyny.gov/,unknown,07/09/54676,NA,"Suffolk County is the geographically largest of Long Island's four counties and the second-largest of the 62 counties in the State of New York.  Suffolk County government employs 2,001-5,000 people and has $1B-$5B of revenue ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/11f75aa5-18d9-43aa-a52d-d7847c590200,BlackCat,NA,NA,"Our team conducted a cybersecurity study of Suffolk County. Findings revealed a significant number of vulnerabilities, which, in turn, led to disruption in Livelihood systems and discomfort for Suffolk County residents. All of this could have been avoided if the common sense and rationality of Suffolk County authorities had been exercised in making decisions.  Unfortunately, that did not happen.   According to a Suffolk County spokesperson, your government spent $6,500,000 between 2019 and 2022 on cybersecurity of taxpayer funds. As we discovered in our research, that spending came down to the Palo Alto government's purchase of the Palo Alto - Cortex XDR system, which was supposed to provide robust protection for the county's computer infrastructure and citizens' personal data.  You can see the results of the reliability of this system for yourself.   Our team made a rational suggestion to the Suffolk government to avoid the critical consequences of the county's weak cyber defenses.  Our proposal to the Suffolk government was to pay for our study in the amount of 20% of the $6,500,000 USD that the government had previously spent so foolishly. Specifically, 650000 USD. In addition, we were willing to reduce the cost of our services.  Our team's proposal was to fix the problem within 48 hours. By September 10, all Suffolk infrastructure activity could be back to normal. In addition, by presenting the results of our work in the form of concrete recommendations, we were guaranteed that Suffolk County's cybersecurity could be truly strengthened. And that's for only $650,000 USD. That's a good price.   The government made a different decision, refusing to even discuss a solution to the problem with us, namely deliberately forcing us to publish confidential information.  Question: Whose interests does Suffolk County government represent?   So far we have published 25% of the information we have. We are sorry, but today we will continue to publish confidential information regarding citizens of the county, court cases, the sheriff's department, etc.    How much credibility can we give to a government that deliberately harms its Population?   THE CHOICE IS YOURS!  POST HAS BEEN UPDATED 800GB LEAK AVAILABLE NOW http://zsiqjukuzkfdhvpj3onvl3vggicia47maatwzluxsqwdau432s2kqrid.onion  http://pyjam37kuoepfrcydajrd5on7kdv27kxmkauycs6fnjnbwvmxotsyzad.onion  http://m63dgvkqadjlt4xn22ztzpsogtpp5kn3maprvddr4z3yztai6f7ynqid.onion ",07/09/54676 12:16:47
