Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links
Duplicator Sales &amp; Service,https://duplicatorsales.net/,NA,20/11/2022,NA,"Duplicator Sales & ServiceOFFICE EQUIPMENT. TECHNOLOGY. SERVICES. SECURITY. Duplicator Sales & Service offers document management, networking services, IT support, copiers, printers, wide formats, as well as fax and mailing solutions. Our company culture has developed around the philosophy that [we] don’t pay anyone, our customers pay all of us. So we work hard at total customer satisfaction, Harry M. Nash, founder 1959.Headquarters: 831 E Broadway, Louisville, Kentucky, 40204, United StatesPhone Number: (800) 633-8921Website: www.duplicatorsales.netRevenue: $28M",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/r3CZ9D4EBYmeFWXJhA2zRp49CwmIe2rJ,Royal,200,28M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/duplicatorsales/,200,28M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/duplicatorsales/
Trussbilt LLC,https://www.trussbilt.com,NA,18/11/2022,NA,"Trussbilt is the World's Formost Security & Detention Equipment ManufacturerFor over 90 years Trussbilt has made correctional facilities around the world more secure and cost-effective by designing and manufacturing security products that set the industry's standard for safety, quality and innovation. Trussbilt is a leading manufacturer of security wall panels, detention doors and frames, security ceilings, security floors, and specialty products.Headquarters: 555 Lincoln Ave NW, Huron, South Dakota, 57350, United StatesPhone Number: (605) 352-5283Website: www.trussbilt.comRevenue: $22M",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/1DuIUxOHZEJ8FUed4XGMDzSqyyDjQOfz,Royal,330Gb,22M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/trussbilt/,330Gb,22M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/trussbilt/
Cates Control Systems,https://www.cates.com,NA,28/11/2022,NA,"Cates Control Systems has been providing automation and control products to manufacturing companies for over 40 years. In 1978 Gordon Cates founded the company as a DC and Eddy current service company in Houston, Texas. Since that time Cates has evolved into an automation solutions company with engineering, fabrication, product and application expertise. Our company has always focused on providing customers with exceptional service.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/tt1KQ9B7maSYR8o9suRDub11SqSkNpQQ,Royal,400Gb,66 Million,100,Bazell|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Bazell.tgz||ACADE_2022|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/ACADE_2022.tgz||Safety|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Safety.tgz||HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/HR.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Accounting.tgz||Job_Files|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Job_Files.tgz||Sales|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Sales.tgz,400Gb,66 Million,100,Bazell|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Bazell.tgz||ACADE_2022|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/ACADE_2022.tgz||Safety|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Safety.tgz||HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/HR.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Accounting.tgz||Job_Files|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Job_Files.tgz||Sales|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/case/Sales.tgz
RMCLAW,https://www.rmclaw.net/,NA,17/11/2022,NA,"Righeimer Martin & Cinquino, P.C. was founded approximately eighty years ago by Frank S. Righeimer, a former presiding judge of the Circuit Court of Cook County, Illinois. Since that time, the firm has specialized in civil litigation, with an emphasis in the areas of eminent domain, probate administration, real estate and banking law.At Righeimer Martin & Cinquino, we are committed to offering quality legal services efficiently and at reasonable prices. Our firm is large enough to respond quickly to client needs, but small enough to offer a personalized approach for each client, while achieving an economical resolution.We are committed to serving the needs of our clients. For further information about our firm and its attorneys and practice areas, please explore this website. If Righeimer Martin & Cinquino can be of assistance to you.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/0JPnH37BsVifMNBwujcM4d89HeyWDctj,Royal,30,5 M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/RMCLAW/,30,5 M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/RMCLAW/
Tubular Steel Inc,https://tubularsteel.ca,NA,21/11/2022,NA,"Tubular Steel Inc is a company that operates in the Mining & Metals industry. It employs 21-50 people and has $10M-$25M of revenue.Headquarters:285 Raleigh Ave, Scarborough, Ontario, M1K 1A5, Canada: (416) 261-9571: www.tubularsteel.ca: $19 MillionTubular Steel Inc. is a North American leader in precision welded steel tube production. Our culture of continuous improvement helps to maintain our leadership role as one of the most forward-thinking carbon steel tube manufacturers in North America.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/TK8A92EVqyd95ZF1CNltwMEcOMMp0UCO,Royal,80 Gb,19M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/TSI/,80 Gb,19M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/TSI/
Law Firm of Friedman + Bartoumian,https://www.friedmanlawoffices.com/,NA,19/11/2022,NA,"Friedman & BartoumianCalifornia, United States · 43 EmployeesHeadquarters: 30401 Agoura Rd Ste 200, Agoura Hills, California, 91301, United States(818) 707-1488Facsimile: (818) 707-0490Tax Identification No. 95-4304462https://www.friedmanlawoffices.com/$10 MillionThe Law Firm of Friedman + Bartoumian offers a broad range of legal expertise. Our attorneys have earned the respect of other attorneys, judges and clients throughout California and the nation. In recognition of our legal ability and ethical standards, we have received a high rating from the Martindale-Hubbell organization, the most respected source of authoritative biographical information about members of the legal community worldwide.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/c9GEYAPHDWg0moHqmS8zMHYcBU4bPFnc,Royal,104gb,10M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/FRIEDMANS/,104gb,10M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/FRIEDMANS/
McAndrews Law Offices,https://mcandrewslaw.com/,NA,12/11/2022,NA,"McAndrews Law Offices   Founded in 1983 and headquartered in Berwyn, Pennsylvania, McAndrews Law Firm is a legal representation firm. McAndrews Law Offices is a nationally recognized firm that is committed to providing families of Pennsylvania, Delaware, Maryland, the Metropolitan Washington, D.C. Area, and New Jersey with exceptional legal representation.   Since 1982, McAndrews Law Offices has provided exceptional representation on matters involving probate, estate planning, planning when a family member has a disability, special needs trusts, personal injury, guardianship, special education, public benefits for seniors, long-term medical care and elder law.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/AfDDN4v2v0gyM3rV8FMkP6E9Y0zHaAmy,Royal,150 Gb,5M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/mcandrewslaws/,150 Gb,5M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/mcandrewslaws/
Virginia Farm Bureau,https://www.vafb.com,NA,17/11/2022,NA,"Virginia Farm Bureau is the largest non-profit agricultural advocacy organization in Virginia. With the support of our members, we help protect farming, agriculture, and the Virginia way of life.Virginia Farm Bureau Mutual Insurance Company was founded to protect the lives and livelihoods of Virginia's farmers. But today, we continue to offer the same reliable coverage to all Virginians.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/rwZuQ1ClkZx33GEOkHWHmYXysO21Wl9A,Royal,1.3Tb,343 Million,100,Counties|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/Counties.tgz||DluDW|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/DluDW.tgz||HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/HR.tgz||HR1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/HR1.tgz||Actuarial|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/Actuarial.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/DATA.tgz,1.3Tb,343 Million,100,Counties|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/Counties.tgz||DluDW|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/DluDW.tgz||HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/HR.tgz||HR1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/HR1.tgz||Actuarial|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/Actuarial.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/vafb/DATA.tgz
Los Angeles Business Journal,https://www.labusinessjournal.com,NA,17/11/2022,NA,"The Los Angeles Business Journal, established in 1979, is a weekly newspaper and online news source in Los Angeles, California, which provides coverage of local business news.  According to the Journal's website, it has a weekly print circulation of 24,000 and over 40,000 unique monthly website visitors. It is published each Monday.[5]",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/tQtzBJ5hH7RopHZvOCczSxyFDHGEMO5B,Royal,360Gb,8 Million,100,HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/HR.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/accounting.tgz||Shared|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/Shared.tgz||Sales|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/Sales_Archive.tgz,360Gb,8 Million,100,HR|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/HR.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/accounting.tgz||Shared|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/Shared.tgz||Sales|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/labj/Sales_Archive.tgz
M2S Electronics,https://www.m2selectronics.com,NA,17/11/2022,NA,"At M2S Electronics, we are committed to improving the world around us and doing business ""the right way"".The right way for our employees, for our suppliers and partners, for our customers and for the communities in which we live and work.M2S is partnering with manufacturers located in North America, offering electronic value-added subcontracting, designed to meet the customer’s expectations.In accordance with our values: Progress, Control and Harmony.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/Sp5wVdXzb3PppvZmcEtw1ZF1UuP5MiDU,Royal,0,15 Million,0,,0,15 Million,0,
Cristal Controls,https://www.cristalcontrols.com,NA,15/11/2022,NA,"Cristal Controls manufactures energy management systems, low voltage lighting control systems, temperature controls, humidity controls, and automation electronic products for manufacturers, specialized distributors, and integrators. We design all our systems and provide the necessary product training.One of our main objectives is to ensure continued growth by delivering high-quality products within the specified deadline. We maintain close business relations with our customers by bringing them the appropriate solutions that truly fulfill their needs.﻿Cristal Controls, manufacturer of SCR and SSR power controllers, and of lighting control systems and energy management systems, was founded in Québec City in 1991. Since its creation, the company has maintained a solid and steady growth. Starting with only two employees and limited production capabilities, Cristal Controls’ team is now made up of almost 30 members, all working together for the success of your projects.With the years, we have gained a solid and considerable expertise in many lines of products, such as SCR and Triac modulating energy controllers, linear step controllers, BACnet’s energy management systems, low voltage lighting control systems, and automation systems.Cristal Controls collaborates with many major companies by providing them with high quality products as well as by developping for them customized solutions that meet their specific needs.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/J8fWDTX7j8AyZlXCQLg2U65phWbhkrDm,Royal,125Gb,5 Million,100,Administration|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Administration.tgz||Comptabilite|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Comptabilite.tgz||Ventes|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Ventes.tgz||Comptabilite2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Comptabilite2.tgz||Projets|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Projets.tgz,125Gb,5 Million,100,Administration|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Administration.tgz||Comptabilite|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Comptabilite.tgz||Ventes|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Ventes.tgz||Comptabilite2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Comptabilite2.tgz||Projets|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/cristal/Projets.tgz
"Naulty, Scaricamazza and McDevitt, LLC",https://naulty.com/,NA,20/10/2022,NA,"NaultyPennsylvania, United States · 56 Employees Headquarters: 1617 Jfk Blvd Ste 750, Philadelphia, Pennsylvania, 19103, United StatesPhone Number: (215) 568-5116Website: www.naulty.comRevenue: $14 MillionNaulty, Scaricamazza & McDevitt was founded in 1952 by the late John F. Naulty following his service as house counsel for two national insurance companies. He was then joined by Angelo L. Scaricamazza and Francis T. McDevitt. Angelo continued to practice law and lead the firm until his untimely passing on December 2, 2020. Francis remains a prominent attorney and leader. The firm has grown from small beginnings to being considered among the most active and respected firms in Pennsylvania, New Jersey and Delaware.Since it’s founding, our firm’s mission continues to be providing the highest level of representation while focusing on the individual needs of our clients. By thoroughly understanding and analyzing clients’ needs, we deliver tangible results that exceed their expectations. Our philosophy has earned us a strong reputation for superior counsel, cost-conscious litigation strategies and loyal clients.Our attorneys are all committed to providing our clients with diligent, aggressive and professionally responsible representation. Our firm’s self-insured clients consist of retail stores, shopping centers, manufacturing companies, trucking companies, and related governmental entities. On the insurance side, the firm has represented almost every type of business in existence.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/KoiqaLC2wEiu8lwRz3m2Bln47Eb2Z5XW,Royal,365 Gb,$14 Million,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/nsm/,365 Gb,$14 Million,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/nsm/
Lamtec,http://www.lamtec.com,NA,15/11/2022,NA,"Lamtec Corporation is a global supplier of insulation vapor retarders and facings to the leading manufacturers, laminators and fabricators of fiberglass, rockwool, foam board and tape. Our focus is the building products market, specifically the Metal Building, Duct Wrap, Duct Board, Pipe, Foam Board / Panel, Tape and OEM insulation segments.Lamtec's insulation vapor retarders and facings are engineered to protect insulation from physical abuse and the damaging effects of moisture. In addition, our facings are designed with proprietary flame retardant chemistry to assist you in meeting demanding fire codes and standards.Our technical resources are available to leverage their decades of insulation industry experience to assist you in solving your product and process challenges.For over 40 years, our philosophy has been simple, ""Design and manufacture the very best in laminated insulation facing / vapor retarders, offer them at competitive pricing, deliver them on time and follow-up with comprehensive technical support"".Lamtec's 260,000 square foot facility is situated on a 45 acre site in Northeastern Pennsylvania, convenient to all New York metropolitan area ports and major North-South and East-West interstate highways.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/g467lXDom7gd4euQ3rjBt44ZPaHEvhRg,Royal,60Gb,25 Million,0,,60Gb,25 Million,0,
The Keenan Agency Inc,https://www.keenanins.com,NA,02/11/2022,NA,"The Keenan Agency IncHeadquarters:6805 Avery-muirfield Dr Ste 200, Dublin, Ohio, 43016, United StatesPhone Number:(614) 764-7000Revenue: $5 MillionThe Keenan Agency Inc is a leading independent insurance agency in Central Ohio, founded in 1938. As a leader, The Keenan Agency insures thousands of clients nationwide. We provide each client a comprehensive insurance and risk management program tailored to their unique needs.We take pride in our consultative approach; at The Keenan Agency we take the time to understand your changing insurance needs, and will put a personal insurance or business insurance program in place that will deliver economy, superior protection, and risk management assistance.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/lF6z6th0SjflD7YUUtF2DnTw9OHf9zfm,Royal,30Gb,5M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/keenanins/,30Gb,5M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/keenanins/
Q.E.P,https://www.qep.com,NA,11/11/2022,NA,"QEP Co., Inc. was founded in 1979. The first QEP branded tiling product was a “Do-It-Yourself” Bathtub Edging Kit. In 1981, this Bathtub Edging Kit was picked up by a small 6 store “home improvement” chain called The Home Depot, quickly opening the doors of opportunity for QEP in the tile tool market. Over 30 years later, QEP has become an established and recognized brand, specializing in installation tools and accessories for tile, porcelain and natural stone. Today, QEP products could be found in all 50 of the States and in over 80 countries worldwide. We continually introduce new and innovative products that address the challenges of today’s market including our 900XT 10” Pro Tile Saw that won the Surfaces 2014 Best New Product Award.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/kWpnYeUKx374vhMdZoyH5MkvRLzP45oJ,Royal,420Gb,445 Million,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Accounting.tgz||FileCabinet|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/FileCabinet.tgz||Home|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/home.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive3.tgz||Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive1.tgz,420Gb,445 Million,100,Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Accounting.tgz||FileCabinet|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/FileCabinet.tgz||Home|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/home.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive3.tgz||Archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qep/Archive1.tgz
B Fernandez &amp;amp; Hnos,http://bfernandez.com,NA,11/11/2022,NA,"Data on employees (lists with addresses, ID numbers, phone number, salary), financial documentation, lists of partners, tax information, sales report, payroll, PL report, 943 SQL database unloaded.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/WqK6EMvldHPmIl9VS6MNfP9kYqeKyGAV,Royal,130Gb,171M,100,https://mega.nz/file/NX1BwI6T#7vRqrhVEVul1pFbVv7hbH8LfDFVnM2rqqLf0KGodyMU,130Gb,171M,100,https://mega.nz/file/NX1BwI6T#7vRqrhVEVul1pFbVv7hbH8LfDFVnM2rqqLf0KGodyMU
Adven,http://www.adven.com,NA,09/11/2022,NA,Passports / ProjectId / Budget / ,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/W4wyrWoMxRNGHyyYa7vupL4kQgGWLRC0,Royal,750gb,152M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/AVINFRA/Sdjn2SsD/AVINFRA.STEP1.zip,750gb,152M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/AVINFRA/Sdjn2SsD/AVINFRA.STEP1.zip
Zender,http://www.zender.de,NA,08/11/2022,NA,"Zender is a company that operates in the Automotive industry. It employs 1-5 people and has $1M-$5M of revenue. The company is headquartered in Mülheim Kärlich, Germany.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/T0n0ybHPTo4eBbwZYZZH6zFyxCQGUdmu,Royal,10GB,5M,100,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/Zender/,10GB,5M,100,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/Zender/
Silverstone,http://www.silverstone.co.uk,NA,08/11/2022,NA,"The end of the Second World War had left Britain with no major race track but plenty of airfields. On 2 October 1948, the Royal Automobile Club hosted the first British Grand Prix at Silverstone, a former RAF base. An estimated 100,000 people flocked to see Luigi Villoresi beat 22 others in his Maserati marked by bales, ropes and canvas barriers. Silverstone racing history had begun.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/HuGitmFOIeRrM1NE5e23diu0Fj2m48bR,Royal,110GB,57M,50,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/TheBritishRacingDriversClubandSilverstoneCircuit/,110GB,57M,50,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/TheBritishRacingDriversClubandSilverstoneCircuit/
ALLIANCE AFRICAINE D&#039;ASSURANCES,http://aviso.ci,NA,08/11/2022,NA,"17 BP 477 Abidjan 17 Plateau, Avenue Noguès, Imm. Trade Center, 3ème étage",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/a08oxocJxwY4LxS80iSBgha75Lbw0JO0,Royal,100GB,5M,50,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/ALLIANCEAFRICAINED'ASSURANCES/,100GB,5M,50,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/ALLIANCEAFRICAINED'ASSURANCES/
Ortmeier Maschinen- und Vorrichtungsbau GmbH &amp;amp; Co. KG,http://www.h-ortmeier.de,NA,08/11/2022,NA,"Seit 1976 bietet Ortmeier umfassende und durchdachte Lösungen im Bereich Maschinenbau, Vorrichtungsbau, Werkzeugbau sowie in der Automatisierungstechnik in Langenhaslach. Vom bereits bewährten Bauteil bis zur innovativen Neuentwicklung ist Ortmeier Ihr Ansprechpartner für zukunftsweisende und intelligente Fertigungsverfahren.Unser Antrieb ist, mit modernster Technologie Ihre Produktivität und Effizienz zu steigern.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/nklkDK3FGVkopBLVW1kUxXdiKYQ0p0gF,Royal,200GB,5M,45,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/h-ortmeier.de/,200GB,5M,45,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/h-ortmeier.de/
