Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Leak_Links,Org_Revenue,Percentage_Leaked
"Badger Truck Refrigeration, Inc",https://btrac.com,United States of America,Manufacturing,2022-11-15,Company Projects,"Badger Truck Refrigeration, Inc. is a unique company supplying heating and air conditioning systems, as well as fire suppression and idle reduction technology, on heavy-duty and severe-duty applications for on- and off-highway equipment, including forestry, construction, industrial equipment, and heavy trucks.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/btrac.com/,Bianlian,NA,36GB,/file_tree/btrac.com.txt.zip,6M,NA
"Badger Truck Refrigeration, Inc",https://btrac.com,United States of America,Manufacturing,2022-11-15,Server Data,"Badger Truck Refrigeration, Inc. is a unique company supplying heating and air conditioning systems, as well as fire suppression and idle reduction technology, on heavy-duty and severe-duty applications for on- and off-highway equipment, including forestry, construction, industrial equipment, and heavy trucks.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/btrac.com/,Bianlian,NA,36GB,/file_tree/btrac.com.txt.zip,6M,NA
"Badger Truck Refrigeration, Inc",https://btrac.com,United States of America,Manufacturing,2022-11-15,Employee Data,"Badger Truck Refrigeration, Inc. is a unique company supplying heating and air conditioning systems, as well as fire suppression and idle reduction technology, on heavy-duty and severe-duty applications for on- and off-highway equipment, including forestry, construction, industrial equipment, and heavy trucks.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/btrac.com/,Bianlian,NA,36GB,/file_tree/btrac.com.txt.zip,6M,NA
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,2022-11-22,Customer Data,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,NA,480GB,/dl/eurekamesquite.txt,124M,NA
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,2022-11-22,Financial Records,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,NA,480GB,/dl/eurekamesquite.txt,124M,NA
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,2022-11-22,Marketing Data,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,NA,480GB,/dl/eurekamesquite.txt,124M,NA
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,2022-11-22,Server Data,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,NA,480GB,/dl/eurekamesquite.txt,124M,NA
Eureka Casino Resort,https://eurekamesquite.com,United States of America,Casino,2022-11-22,Marketing Data,"Eureka operates in a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/eurekamesquite.com/,Bianlian,NA,480GB,/dl/eurekamesquite.txt,124M,NA
CIMT College,https://cimtcollege.com,Canada,Education,2022-11-25,Employee Data,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,NA,196GB,/dl/cimtcollege.com.txt,8M,NA
CIMT College,https://cimtcollege.com,Canada,Education,2022-11-25,Operations,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,NA,196GB,/dl/cimtcollege.com.txt,8M,NA
CIMT College,https://cimtcollege.com,Canada,Education,2022-11-25,Server Data,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,NA,196GB,/dl/cimtcollege.com.txt,8M,NA
CIMT College,https://cimtcollege.com,Canada,Education,2022-11-25,Marketing Data,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,NA,196GB,/dl/cimtcollege.com.txt,8M,NA
CIMT College,https://cimtcollege.com,Canada,Education,2022-11-25,Company Projects,"Canadian Institute of Management and Technology, or CIMT College, is registered as a Private Career College under the Private Career Colleges Act, 2005.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cimtcollege.com/,Bianlian,NA,196GB,/dl/cimtcollege.com.txt,8M,NA
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,2022-11-27,Employee Data,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,NA,223GB,/dl/berlina.co.id_berlina_data_list.txt,70M,NA
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,2022-11-27,Financial Records,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,NA,223GB,/dl/berlina.co.id_berlina_data_list.txt,70M,NA
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,2022-11-27,Server Data,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,NA,223GB,/dl/berlina.co.id_berlina_data_list.txt,70M,NA
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,2022-11-27,Operations,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,NA,223GB,/dl/berlina.co.id_berlina_data_list.txt,70M,NA
Berlina Tbk,https://berlina.co.id,Indonesia,Manufacturing,2022-11-27,Company Projects,"BPT Berlina Tbk, together with its subsidiaries, provides plastic packaging solutions in Indonesia and internationally. It offers plastic laminated tubes.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/berlina.co.id/,Bianlian,NA,223GB,/dl/berlina.co.id_berlina_data_list.txt,70M,NA
Realstar Holdings Partnership,https://realstar.ca,Canada,Real Estate,2022-11-27,Financial Records,"Realstar is a company that operates in the Real Estate industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Toronto, Ontario, Canada.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/realstar.ca/,Bianlian,NA,378GB,/dl/realstar.ca.txt,78M,NA
Realstar Holdings Partnership,https://realstar.ca,Canada,Real Estate,2022-11-27,Server Data,"Realstar is a company that operates in the Real Estate industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Toronto, Ontario, Canada.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/realstar.ca/,Bianlian,NA,378GB,/dl/realstar.ca.txt,78M,NA
Realstar Holdings Partnership,https://realstar.ca,Canada,Real Estate,2022-11-27,Marketing Data,"Realstar is a company that operates in the Real Estate industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Toronto, Ontario, Canada.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/realstar.ca/,Bianlian,NA,378GB,/dl/realstar.ca.txt,78M,NA
Realstar Holdings Partnership,https://realstar.ca,Canada,Real Estate,2022-11-27,Employee Data,"Realstar is a company that operates in the Real Estate industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Toronto, Ontario, Canada.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/realstar.ca/,Bianlian,NA,378GB,/dl/realstar.ca.txt,78M,NA
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,2022-11-27,Financial Records,"ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,NA,82GB,/dl/zxptechnologies_data_list.txt,120M,NA
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,2022-11-27,Server Data,"ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,NA,82GB,/dl/zxptechnologies_data_list.txt,120M,NA
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,2022-11-27,Company Projects,"ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,NA,82GB,/dl/zxptechnologies_data_list.txt,120M,NA
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,2022-11-27,Marketing Data,"ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,NA,82GB,/dl/zxptechnologies_data_list.txt,120M,NA
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,2022-11-27,Customer Data,"ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,NA,82GB,/dl/zxptechnologies_data_list.txt,120M,NA
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,2022-11-29,Financial Records,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,NA,200GB,/dl/areg.com.au.txt,5M,NA
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,2022-11-29,Server Data,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,NA,200GB,/dl/areg.com.au.txt,5M,NA
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,2022-11-29,Employee Data,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,NA,200GB,/dl/areg.com.au.txt,5M,NA
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,2022-11-29,Server Data,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,NA,200GB,/dl/areg.com.au.txt,5M,NA
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,2022-11-29,Marketing Data,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,NA,200GB,/dl/areg.com.au.txt,5M,NA
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,2022-12-02,Company Projects,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,NA,17TB,/dl/strosehospital.org.txt,100M,NA
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,2022-12-02,Operations,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,NA,17TB,/dl/strosehospital.org.txt,100M,NA
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,2022-12-02,Financial Records,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,NA,17TB,/dl/strosehospital.org.txt,100M,NA
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,2022-12-02,Customer Data,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,NA,17TB,/dl/strosehospital.org.txt,100M,NA
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,2022-12-02,Employee Data,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,NA,17TB,/dl/strosehospital.org.txt,100M,NA
MITCON Consultancy & Engineering Services,https://www.mitconindia.com/,India,Engineering,2022-12-11,Finance Records,"Established in 1982 in Pune, Mitcon is a renowned Indian Technical Consulting Organization (TCO) offering One Stop Solution for all your technical, marketing & financial business requirements.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mitconindia.com/,Bianlian,NA,110GB,/dl/mitcon_data_list.txt,46M,NA
MITCON Consultancy & Engineering Services,https://www.mitconindia.com/,India,Engineering,2022-12-11,Company Projects,"Established in 1982 in Pune, Mitcon is a renowned Indian Technical Consulting Organization (TCO) offering One Stop Solution for all your technical, marketing & financial business requirements.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mitconindia.com/,Bianlian,NA,110GB,/dl/mitcon_data_list.txt,46M,NA
MITCON Consultancy & Engineering Services,https://www.mitconindia.com/,India,Engineering,2022-12-11,Employee Data,"Established in 1982 in Pune, Mitcon is a renowned Indian Technical Consulting Organization (TCO) offering One Stop Solution for all your technical, marketing & financial business requirements.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mitconindia.com/,Bianlian,NA,110GB,/dl/mitcon_data_list.txt,46M,NA
MITCON Consultancy & Engineering Services,https://www.mitconindia.com/,India,Engineering,2022-12-11,Sever Data,"Established in 1982 in Pune, Mitcon is a renowned Indian Technical Consulting Organization (TCO) offering One Stop Solution for all your technical, marketing & financial business requirements.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mitconindia.com/,Bianlian,NA,110GB,/dl/mitcon_data_list.txt,46M,NA
Myofficeplace Inc,https://myofficeplace.net,Canada,Information Technology,2022-12-13,Server Data,"Managed, Dedicated enterprise-class Cloud hosting for businesses. Citrix Hosting, Virtual Servers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/myofficeplace.net/,Bianlian,NA,506GB,/dl/myofficeplace.net.txt,NA,NA
Myofficeplace Inc,https://myofficeplace.net,Canada,Information Technology,2022-12-13,Marketing Data,"Managed, Dedicated enterprise-class Cloud hosting for businesses. Citrix Hosting, Virtual Servers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/myofficeplace.net/,Bianlian,NA,506GB,/dl/myofficeplace.net.txt,NA,NA
Myofficeplace Inc,https://myofficeplace.net,Canada,Information Technology,2022-12-13,Financial Records,"Managed, Dedicated enterprise-class Cloud hosting for businesses. Citrix Hosting, Virtual Servers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/myofficeplace.net/,Bianlian,NA,506GB,/dl/myofficeplace.net.txt,NA,NA
Myofficeplace Inc,https://myofficeplace.net,Canada,Information Technology,2022-12-13,Customer Data,"Managed, Dedicated enterprise-class Cloud hosting for businesses. Citrix Hosting, Virtual Servers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/myofficeplace.net/,Bianlian,NA,506GB,/dl/myofficeplace.net.txt,NA,NA
SEMITEC Corporation,https://semitec.vn,Japan,Manufacturing,2022-12-18,Financial Records,"Semitec Vietnam (SEV) is the 15th subsidiary of Semitec Corporation, headquartered in Japan. The company specializes in manufacturing electronics, sensors.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/semitec.vn/,Bianlian,NA,150GB,/dl/semitec.vn_semitec.vn.txt,155M,NA
SEMITEC Corporation,https://semitec.vn,Japan,Manufacturing,2022-12-18,Customer Data,"Semitec Vietnam (SEV) is the 15th subsidiary of Semitec Corporation, headquartered in Japan. The company specializes in manufacturing electronics, sensors.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/semitec.vn/,Bianlian,NA,150GB,/dl/semitec.vn_semitec.vn.txt,155M,NA
SEMITEC Corporation,https://semitec.vn,Japan,Manufacturing,2022-12-18,System & DB backups,"Semitec Vietnam (SEV) is the 15th subsidiary of Semitec Corporation, headquartered in Japan. The company specializes in manufacturing electronics, sensors.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/semitec.vn/,Bianlian,NA,150GB,/dl/semitec.vn_semitec.vn.txt,155M,NA
HRL Technology Group,https://hrlt.com.au,Australia,Engineering,2022-12-20,Marketing Data,"HRL Technology Group is a leading analytical laboratory, specialist engineering and innovation services company.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hrlt.com.au/,Bianlian,NA,400GB,/dl/hrlt.com.au.txt,7M,NA
HRL Technology Group,https://hrlt.com.au,Australia,Engineering,2022-12-20,Operations,"HRL Technology Group is a leading analytical laboratory, specialist engineering and innovation services company.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hrlt.com.au/,Bianlian,NA,400GB,/dl/hrlt.com.au.txt,7M,NA
HRL Technology Group,https://hrlt.com.au,Australia,Engineering,2022-12-20,Company Projects,"HRL Technology Group is a leading analytical laboratory, specialist engineering and innovation services company.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hrlt.com.au/,Bianlian,NA,400GB,/dl/hrlt.com.au.txt,7M,NA
Lawadami,https://lawadami.com,United States of America,Law,2022-12-20,Customer Data,"Texas based law firm engaged in a diversified practice in the practice areas of civil litigation, insurance defense, workersâ€™ compensation, construction defect, premises liability and first party litigation",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lawadami.com/,Bianlian,NA,500GB,/dl/lawadami.com.z01,5M,NA
Lawadami,https://lawadami.com,United States of America,Law,2022-12-20,Operations,"Texas based law firm engaged in a diversified practice in the practice areas of civil litigation, insurance defense, workersâ€™ compensation, construction defect, premises liability and first party litigation",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lawadami.com/,Bianlian,NA,500GB,/dl/lawadami.com.z01,5M,NA
Lawadami,https://lawadami.com,United States of America,Law,2022-12-20,Others,"Texas based law firm engaged in a diversified practice in the practice areas of civil litigation, insurance defense, workersâ€™ compensation, construction defect, premises liability and first party litigation",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lawadami.com/,Bianlian,NA,500GB,/dl/lawadami.com.z01,5M,NA
N****,Hidden,Mexico,Manufacturing,2022-12-23,Operations,Manufacturer of fire protection products.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n____.com/,Bianlian,NA,560GB,Hidden,54M,NA
N****,Hidden,Mexico,Manufacturing,2022-12-23,Server & DB backups,Manufacturer of fire protection products.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n____.com/,Bianlian,NA,560GB,Hidden,54M,NA
N****,Hidden,Mexico,Manufacturing,2022-12-23,Customer Data,Manufacturer of fire protection products.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n____.com/,Bianlian,NA,560GB,Hidden,54M,NA
N****,Hidden,Mexico,Manufacturing,2022-12-23,Employee Data,Manufacturer of fire protection products.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n____.com/,Bianlian,NA,560GB,Hidden,54M,NA
NewYorker,https://newyorker.de,Germany,Retail,2022-12-28,Marketing Data,"NewYorker is a clothing company that is headquartered in Braunschweig, Germany. The company owns 1000 branches that are located in 40 countries. The company has also developed into a internationally active textile trading group.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorker.de/,Bianlian,NA,340GB,/dl/NewYorker_Data_tree.txt,4B,NA
NewYorker,https://newyorker.de,Germany,Retail,2022-12-28,Financial Records,"NewYorker is a clothing company that is headquartered in Braunschweig, Germany. The company owns 1000 branches that are located in 40 countries. The company has also developed into a internationally active textile trading group.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorker.de/,Bianlian,NA,340GB,/dl/NewYorker_Data_tree.txt,4B,NA
NewYorker,https://newyorker.de,Germany,Retail,2022-12-28,Customer Data,"NewYorker is a clothing company that is headquartered in Braunschweig, Germany. The company owns 1000 branches that are located in 40 countries. The company has also developed into a internationally active textile trading group.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorker.de/,Bianlian,NA,340GB,/dl/NewYorker_Data_tree.txt,4B,NA
NewYorker,https://newyorker.de,Germany,Retail,2022-12-28,Operations,"NewYorker is a clothing company that is headquartered in Braunschweig, Germany. The company owns 1000 branches that are located in 40 countries. The company has also developed into a internationally active textile trading group.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorker.de/,Bianlian,NA,340GB,/dl/NewYorker_Data_tree.txt,4B,NA
CED Group,https://cedgroup.eu/,Belgium,Finance & Insurance,2022-01-01,Financial Records,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7d4a9245-1074-44b0-99ea-a936954264c8,BlackCat,NA,NA,NA,NA,NA
NanoFocus,https://www.nanofocus.com,Germany,Engineering,2022-01-01,Operations,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/1f95d3a3-09d2-4330-bd7a-b1551bfd952e,BlackCat,NA,NA,NA,NA,NA
FrenchGourmet,https://thefrenchgourmet.com,United States of America,F&B,2022-01-02,Financial Records,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2c4bba1e-0770-4d62-bef7-52a3bc9f51bf,BlackCat,NA,NA,NA,NA,NA
FrenchGourmet,https://thefrenchgourmet.com,United States of America,F&B,2022-01-02,Operations,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2c4bba1e-0770-4d62-bef7-52a3bc9f51bf,BlackCat,NA,NA,NA,NA,NA
Detroit Stoker,https://www.detroitstoker.com,United States of America,Manufacturing,2022-01-06,Operations,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0963dd64-f462-4535-82da-b1aa6d102382,BlackCat,NA,NA,NA,NA,NA
Detroit Stoker,https://www.detroitstoker.com,United States of America,Manufacturing,2022-01-06,Financial Records,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0963dd64-f462-4535-82da-b1aa6d102382,BlackCat,NA,NA,NA,NA,NA
Detroit Stoker,https://www.detroitstoker.com,United States of America,Manufacturing,2022-01-06,Customer Data,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0963dd64-f462-4535-82da-b1aa6d102382,BlackCat,NA,NA,NA,NA,NA
The Grand Bahama Port Authority,https://gbpa.com/,Bahama,Professional Services,2022-01-07,Operations,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,BlackCat,NA,NA,NA,NA,NA
The Grand Bahama Port Authority,https://gbpa.com/,Bahama,Professional Services,2022-01-07,Financial Records,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,BlackCat,NA,NA,NA,NA,NA
The Grand Bahama Port Authority,https://gbpa.com/,Bahama,Professional Services,2022-01-07,Customer Data,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,BlackCat,NA,NA,NA,NA,NA
The Grand Bahama Port Authority,https://gbpa.com/,Bahama,Professional Services,2022-01-07,Marketing Data,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,BlackCat,NA,NA,NA,NA,NA
The Grand Bahama Port Authority,https://gbpa.com/,Bahama,Professional Services,2022-01-07,Employee Data,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,BlackCat,NA,NA,NA,NA,NA
